"Id","Description","Status","Error"
"HEALTH","Backend health check","PASS",""
"AUTH-001","Request OTP","PASS",""
"AUTH-002","Peek OTP","PASS",""
"AUTH-003","Verify OTP and get token","PASS",""
"REG-001","Register as driver","PASS",""
"REG-002","Get driver profile (requires auth)","PASS",""
"TUT-001","Complete tutorial","PASS",""
"TUT-002","Sign agreement","PASS",""
"KYC-001","Upload KYC documents (multipart)","PASS",""
"KYC-002","Verify KYC status","PASS",""
"ADM-001","Get admin token","PASS",""
"ADM-002","Approve driver","PASS",""
"ADM-003","Verify driver is approved","PASS",""
"DASH-001","Get vehicles","PASS",""
"DASH-002","Get compliance","PASS",""
"DASH-003","Get preferences","PASS",""
"DASH-004","Get tasks","PASS",""
"ONLINE-001","Go online","PASS",""
"ONLINE-002","Verify online status","PASS",""
"ONLINE-003","Go offline","PASS",""
"VEH-001","Add vehicle","PASS",""
"VEH-002","List vehicles","PASS",""
"PREF-001","Update destination preference","PASS",""
"PREF-002","Update service toggles","PASS",""
"CLEANUP-001","Delete test account","PASS",""
