"Id","Description","Status","Error"
"HEALTH","Backend health check","FAIL","You cannot call a method on a null-valued expression."
"REG-001","Self-register vendor","FAIL","You cannot call a method on a null-valued expression."
"KYC-001","Upload vendor KYC","FAIL","HTTP NotFound: "
"ADM-001","Get admin token","PASS",""
"ADM-002","Approve vendor","FAIL","HTTP NotFound: "
"AUTH-001","Request vendor OTP","PASS",""
"AUTH-002","Peek vendor OTP","PASS",""
"AUTH-003","Verify vendor OTP","FAIL","HTTP Unauthorized: {""message"":""Login failed. Please check your OTP and that an approved vendor profile exists.""}"
"PROFILE-001","Get vendor profile","FAIL","HTTP Unauthorized: "
"DASH-001","Get dashboard","FAIL","HTTP Unauthorized: "
"DASH-002","Get vendor venues","FAIL","HTTP Unauthorized: "
"DASH-003","Get vendor bookings","FAIL","HTTP Unauthorized: "
"KDS-001","Get KDS orders","FAIL","HTTP Unauthorized: "
"WALLET-001","Get vendor wallet","FAIL","HTTP Unauthorized: "
"WALLET-002","Get wallet transactions","FAIL","You cannot call a method on a null-valued expression."
"WALLET-003","Get wallet detail","FAIL","HTTP Unauthorized: "
"REVIEW-001","Get vendor reviews","FAIL","HTTP Unauthorized: "
"STAFF-001","Get vendor staff","FAIL","HTTP Unauthorized: "
"DISPUTE-001","Get vendor disputes","FAIL","HTTP Unauthorized: "
"PROMO-001","Get vendor promotions","FAIL","HTTP Unauthorized: "
"PROMO-002","Get flash promos","FAIL","HTTP Unauthorized: "
"LUGGAGE-001","Get vendor luggage","PASS",""
"TABLE-001","Get live tables","PASS",""
"DOOR-001","Get door log","PASS",""
"BIZ-001","List businesses","FAIL","HTTP Unauthorized: {""message"":""Authenticated phone not found.""}"
